OBJECTID,OFT_1,STREET_O_NAME_1,STREET_F_NAME_1,STREET_T_NAME_1,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION_YR,SEALCOAT_YR,SEALCOAT_COUNT,OVERLAY_YR,PCI,PCI_BRANCH_AVG,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION_DATE,REFNO_ALL
2001,26202640254,26TH AVE S,26TH ST E,25TH ST E,CSAH,48,8,ASPH/CONC,UNKNOWN,1969,,,,2010,,,656,,,,2600
2002,3.213E+11,VAN WHITE MEMORIAL BLVD,4TH AVE N,5TH AVE N,RES,9746,15,ASPHALT9,CRUSH.CONC,2005,,,0,,,87,310,,,2010-05-14T00:00:00.000Z,11848
2003,22170125R09A,LINDEN AVE,12TH ST N,I-394 W RAMP,MSA,350,2,ASPHALT,UNKNOWN,1985,,,0,2011,100,,260,,,2011-11-01T00:00:00.000Z,9500
2004,26333171345,26TH AVE SE,WEEKS AVE SE,COMO AVE SE,RES,2584,10,CONCRETE7,S.GRAN.MAT.,1967,,,,,,78,569,,,2012-07-13T00:00:00.000Z,2611
2005,34404020412,34TH ST E,40TH AVE S,41ST AVE S,MSA,246,2,ASPHALT9,S.GRAN.MAT.,1986,,2005,2,,84,,331,,,2013-10-01T00:00:00.000Z,3736
2006,34404420442,34TH ST E,44TH AVE S,44TH AVE S,RES,2794,14,ASPHALT7,CRUSH.CONC,1983,,1993,2,,,61,37,,,2013-08-26T00:00:00.000Z,3740
2007,34404520462,34TH ST E,45TH AVE S,46TH AVE S,RES,2794,14,ASPHALT7,CRUSH.CONC,1983,,1993,2,,,61,284,,,2013-08-26T00:00:00.000Z,3743
2008,34404720482,34TH ST E,47TH AVE S,48TH AVE S,RES,2794,14,ASPHALT7,CRUSH.CONC,1983,,1993,2,,,61,327,,,2013-08-26T00:00:00.000Z,3745
2009,34404821507,34TH ST E,48TH AVE S,EDMUND BLVD,RES,2794,14,ASPHALT7,CRUSH.CONC,1983,,1993,2,,,61,194,,,2013-08-26T00:00:00.000Z,3746
2010,0349DEDW1904,34TH ST W,DEAD END (W),IRVING AVE S,RES,2781,10,ASPHALT7,CRUSH.CONC,1991,,2001,2,,,52,256,,,2013-06-11T00:00:00.000Z,3747
2011,34919041823,34TH ST W,IRVING AVE S,HUMBOLDT AVE S,RES,2781,10,ASPHALT7,CRUSH.CONC,1991,,2001,2,,,52,329,,,2013-06-11T00:00:00.000Z,3748
2012,34918191809,34TH ST W,HOLMES AVE S,HENNEPIN AVE,RES,2781,10,ASPHALT7,CRUSH.CONC,1991,,2001,2,,,52,329,,,2013-06-11T00:00:00.000Z,3750
2013,34916181516,34TH ST W,FREMONT AVE S,EMERSON AVE S,RES,2781,10,ASPHALT7,CRUSH.CONC,1991,,2001,2,,,52,329,,,2013-06-11T00:00:00.000Z,3753
2014,29313453003,29TH AVE SE,COMO AVE SE,TALMAGE AVE SE,MSA,346,1,ASPHALT9,S.GRAN.MAT.,1987,,2006,2,,85,,658,,,2010-05-27T00:00:00.000Z,3057
2015,29400321334,29TH ST E,3RD AVE S,CLINTON AVE,RES,2635,29,ASPHALT9,S.GRAN.MAT.,1974,,1999,3,,,62,329,,,2013-08-08T00:00:00.000Z,3062
2016,29400522618,29TH ST E,5TH AVE S,PORTLAND AVE,RES,2635,29,ASPHALT9,S.GRAN.MAT.,1974,,1999,3,,,62,329,,,2013-08-08T00:00:00.000Z,3065
2017,29401320142,29TH ST E,13TH AVE S,14TH AVE S,RES,2635,29A,ASPHALT9,S.GRAN.MAT.,1974,,1999,3,,,62,329,,,2013-08-08T00:00:00.000Z,3069
2018,29412140162,29TH ST E,BLOOMINGTON AVE,16TH AVE S,RES,2635,30,ASPHALT9,S.GRAN.MAT.,1975,,1999,3,,,62,329,Pavement Exception: Pavement and some C&G on N. side (from 18th-Cedar) was built in 2006.,,2013-08-08T00:00:00.000Z,3072
2019,32915161418,32ND ST W,EMERSON AVE S,DUPONT AVE S,RES,2768,6,ASPHALT7,CRUSH.CONC,1992,,2009,2,,,89,329,,,2012-11-19T00:00:00.000Z,3456
2020,32913381228,32ND ST W,COLFAX AVE S,BRYANT AVE S,RES,2768,6,ASPHALT7,CRUSH.CONC,1992,,2009,2,,,89,330,,,2012-11-19T00:00:00.000Z,3458
2021,32911042230,32ND ST W,ALDRICH AVE S,LYNDALE AVE S,RES,2768,6,ASPHALT7,CRUSH.CONC,1992,,2009,2,,,89,329,,,2012-11-19T00:00:00.000Z,3460
2022,32917152615,32ND ST W,GRAND AVE S,PLEASANT AVE,RES,2662,11,ASPHALT7m,S.GRAN.MAT.,1976,,2001,3,,,67,330,,,2011-05-26T00:00:00.000Z,3464
2023,33413441326,33RD ST E,COLUMBUS AVE,CHICAGO AVE,RES,2647,7,ASPHALT7m,S.GRAN.MAT.,1975,,1995,3,,,65,329,,,2013-05-31T00:00:00.000Z,3551
2024,33415080102,33RD ST E,ELLIOT AVE,10TH AVE S,RES,2652,17A,ASPHALT7m,S.GRAN.MAT.,1976,,2006,3,,,73,329,,,2013-08-26T00:00:00.000Z,3553
2025,36029112823,36TH AVE N,SHERIDAN AVE N,RUSSELL AVE N,RES,2630,15,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,328,,,2013-08-01T00:00:00.000Z,3922
2026,36028232702,36TH AVE N,RUSSELL AVE N,QUEEN AVE N,RES,2630,15,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,329,,,2013-08-01T00:00:00.000Z,3923
2027,36025072403,36TH AVE N,OLIVER AVE N,NEWTON AVE N,RES,2684,11,ASPHALT7,CRUSH.ROCK,1978,,1999,3,,,49,329,,,2013-06-10T00:00:00.000Z,3926
2028,36022212105,36TH AVE N,LOGAN AVE N,KNOX AVE N,RES,2684,11,ASPHALT7,CRUSH.ROCK,1978,,1999,3,,,49,329,,,2013-06-10T00:00:00.000Z,3929
2029,36019031822,36TH AVE N,IRVING AVE N,HUMBOLDT AVE N,RES,2684,11,ASPHALT7,CRUSH.ROCK,1978,,1999,3,,,49,328,,,2013-06-10T00:00:00.000Z,3932
2030,36014171339,36TH AVE N,DUPONT AVE N,COLFAX AVE N,RES,2712,9,ASPHALT7,CRUSH.CONC,1981,,2006,3,,,61,325,,,2012-04-26T00:00:00.000Z,3937
2031,36011032229,36TH AVE N,ALDRICH AVE N,LYNDALE AVE N,RES,2712,9,ASPHALT7,CRUSH.CONC,1981,,2006,3,,,61,326,,,2012-04-26T00:00:00.000Z,3940
2032,36000650045,36TH AVE N,6TH ST N,4TH ST N,RES,2726,10,ASPHALT7,CRUSH.CONC,1995,,1996,1,,,59,394,,,2012-04-30T00:00:00.000Z,3942
2033,26330031501,26TH AVE SE,TALMAGE AVE SE,EAST HENNEPIN AVE,RES,2984,12,ASPHALT7m,S.GRAN.MAT.,1973,2004,2005,1,,,85,658,,,2013-06-14T00:00:00.000Z,2613
2034,26429230012,26TH ST E,STEVENS AVE,1ST AVE S,MSA,239,5,ASPH/CONC,S.GRAN.MAT.,1962,1997,2009,2,,68,,326,,,2013-08-29T00:00:00.000Z,2664
2035,26413340032,26TH ST E,CLINTON AVE,3RD AVE S,MSA,239,5A,ASPH/CONC,S.GRAN.MAT.,1967,,2009,1,1999,73,,330,,,2013-08-29T00:00:00.000Z,2661
2036,4.59917E+11,59 1/2 ST W,GRAND AVE S,PLEASANT AVE,RES,2629,15,ASPHALT9,S.GRAN.MAT.,1971,,,,2009,,100,342,,,2009-11-01T00:00:00.000Z,6466
2037,26426180052,26TH ST E,PORTLAND AVE,5TH AVE S,MSA,239,7,ASPH/CONC,S.GRAN.MAT.,1962,,1997,3,,62,,330,,,2009-10-19T00:00:00.000Z,2659
2038,36917152615,36TH ST W,GRAND AVE S,PLEASANT AVE,MSA,251,4,ASPH/CONC,UNKNOWN,1965,2002,2012,2,,90,,332,Sealcoat Exception: BLAISDELL - NICOLLET WAS SEALCOATED IN 2013.,,2008-06-24T00:00:00.000Z,4075
2039,36912132405,36TH ST W,BLAISDELL AVE,NICOLLET AVE,MSA,251,4,ASPH/CONC,UNKNOWN,1965,2002,2012,2,,90,,479,Sealcoat Exception: BLAISDELL - NICOLLET WAS SEALCOATED IN 2013.,,2008-06-24T00:00:00.000Z,4078
2040,37033073208,37TH AVE N,WASHBURN AVE N,VINCENT AVE N,RES,2630,16,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,329,,,2013-08-01T00:00:00.000Z,4092
2041,37032083106,37TH AVE N,VINCENT AVE N,UPTON AVE N,RES,2630,16,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,329,,,2013-08-01T00:00:00.000Z,4093
2042,34913381228,34TH ST W,COLFAX AVE S,BRYANT AVE S,RES,2781,10,ASPHALT7,CRUSH.CONC,1991,,2001,2,,,52,330,,,2013-06-11T00:00:00.000Z,3756
2043,34911042230,34TH ST W,ALDRICH AVE S,LYNDALE AVE S,RES,2781,10,ASPHALT7,CRUSH.CONC,1991,,2001,2,,,52,330,,,2013-06-11T00:00:00.000Z,3758
2044,37203740364,37TH AVE S,37TH ST E,36TH ST E,RES,2688,6,ASPHALT7,CLASS 2,1978,,2000,3,,,68,734,,,2012-10-11T00:00:00.000Z,4155
2045,37203340324,37TH AVE S,33RD ST E,32ND ST E,RES,2713,1,ASPHALT7,CRUSH.CONC,1982,,,,2013,,100,659,,,2013-11-01T00:00:00.000Z,4158
2046,37202940284,37TH AVE S,29TH ST E,28TH ST E,RES,2789,1,ASPHALT7m,S.GRAN.MAT.,1980,,1994,2,,,63,659,,,2014-08-13T00:00:00.000Z,4162
2047,37202740264,37TH AVE S,27TH ST E,26TH ST E,RES,2788,8,ASPHALT7,CRUSH.CONC,1981,,,,2013,,100,649,,,2013-11-01T00:00:00.000Z,4164
2048,37202542908,37TH AVE S,25TH ST E,SEABURY AVE,RES,2788,8,ASPHALT7,CRUSH.CONC,1981,,,,2013,,100,344,,,2013-11-01T00:00:00.000Z,4166
2049,37400220032,37TH ST E,2ND AVE S,3RD AVE S,RES,2631,19,ASPHALT7m,CLASS 3,1971,,2009,4,,,70,335,,,2013-07-15T00:00:00.000Z,4169
2050,37413340042,37TH ST E,CLINTON AVE,4TH AVE S,RES,2631,19,ASPHALT7m,CLASS 3,1971,,2009,4,,,70,336,,,2013-07-15T00:00:00.000Z,4171
2051,37400522618,37TH ST E,5TH AVE S,PORTLAND AVE,RES,2631,19,ASPHALT7m,CLASS 3,1971,,2009,4,,,70,334,,,2013-07-15T00:00:00.000Z,4173
2052,32926141607,32ND ST W,PILLSBURY AVE,FINDLEY PL,RES,2662,11,ASPHALT7m,S.GRAN.MAT.,1976,,2001,3,,,67,215,,,2011-05-26T00:00:00.000Z,3466
2053,32912132405,32ND ST W,BLAISDELL AVE,NICOLLET AVE,RES,2662,12,ASPHALT9,S.GRAN.MAT.,1976,,2001,3,,,67,460,,,2011-05-26T00:00:00.000Z,3468
2054,33034013307,33RD AVE N,XERXES AVE N,WASHBURN AVE N,RES,2630,12,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,324,,,2013-08-01T00:00:00.000Z,3469
2055,33033073208,33RD AVE N,WASHBURN AVE N,VINCENT AVE N,RES,2630,12A,CONCRETE9,S.GRAN.MAT.,1971,,,,,,73,329,,,2013-08-01T00:00:00.000Z,3470
2056,33031063007,33RD AVE N,UPTON AVE N,THOMAS AVE N,RES,2630,12B,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,330,,,2013-08-01T00:00:00.000Z,3472
2057,33023302221,33RD AVE N,MORGAN AVE N,LOGAN AVE N,RES,2684,8,ASPHALT7,CRUSH.ROCK,1978,,1999,3,,,49,328,Pavement Exception: PVMT. REPLACED ON N 1/2 BTWN. IRVING & HUMBOLDT (2001 SEWER PROJ.),,2013-06-10T00:00:00.000Z,3480
2058,16202440224,16TH AVE S,24TH ST E,22ND ST E,RES,2985,10,ASPHALT7m,S.GRAN.MAT.,1972,2003,2004,1,,,76,656,,,2014-06-26T00:00:00.000Z,1634
2059,35400122405,35TH ST E,1ST AVE S,NICOLLET AVE,MSA,249,1A,ASPH/CONC,S.GRAN.MAT.,1961,2002,2013,2,,82,,334,,,2013-09-03T00:00:00.000Z,3852
2060,35400320022,35TH ST E,3RD AVE S,2ND AVE S,MSA,249,2,ASPH/CONC,S.GRAN.MAT.,1961,2002,2012,2,,76,,338,,,2013-09-03T00:00:00.000Z,3849
2061,36100264026,36TH AVE NE,2ND ST NE,2 1/2 ST NE,RES,2650,14A,ASPHALT7m,S.GRAN.MAT.,1974,,2001,4,,,75,333,,,2012-11-13T00:00:00.000Z,3947
2062,36140260036,36TH AVE NE,2 1/2 ST NE,3RD ST NE,RES,2650,14A,ASPHALT7m,S.GRAN.MAT.,1974,,2001,4,,,75,332,,,2012-11-13T00:00:00.000Z,3948
2063,27205243329,27TH AVE S,52ND ST E,WOODLAWN BLVD,RES,2613,5,CONCRETE7,S.GRAN.MAT.,1969,,,,,,78,443,,,2013-10-21T00:00:00.000Z,2752
2064,27204140404,27TH AVE S,41ST ST E,40TH ST E,RES,2743,11,ASPHALT7,CRUSH.CONC,1986,,1995,2,,,65,658,,,2013-07-10T00:00:00.000Z,2757
2065,27204040394,27TH AVE S,40TH ST E,39TH ST E,RES,2756,8,ASPHALT7,CRUSH.CONC,1979,,1999,3,,,51,658,,,2013-06-03T00:00:00.000Z,2758
2066,27203940384,27TH AVE S,39TH ST E,38TH ST E,RES,2756,8,ASPHALT7,CRUSH.CONC,1979,,1999,3,,,51,657,,,2013-06-03T00:00:00.000Z,2759
2067,27203740364,27TH AVE S,37TH ST E,36TH ST E,RES,2813,1,ASPHALT7,CRUSH.CONC,1990,,2000,2,,,74,660,,,2013-07-12T00:00:00.000Z,2761
2068,36402620272,36TH ST E,26TH AVE S,27TH AVE S,MSA,251,8,ASPHALT,CRUSH.CONC,1983,,1994,2,,70,,328,,,2011-08-24T00:00:00.000Z,4032
2069,27202840274,27TH AVE S,28TH ST E,27TH ST E,MSA,410,2,ASPHALT9,CLASS 5,2006,,2007,1,,92,,675,,,2010-09-07T00:00:00.000Z,2766
2070,3.21332E+11,VAN WHITE MEMORIAL BLVD,VAN WHITE MEMORIAL BLVD,VAN WHITE MEMORIAL BLVD,RES,9746,15,ASPHALT9,CRUSH.CONC,2005,,,0,,,87,101,,,2010-05-14T00:00:00.000Z,11850
2071,37029112823,37TH AVE N,SHERIDAN AVE N,RUSSELL AVE N,RES,2630,16,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,329,,,2013-08-01T00:00:00.000Z,4096
2072,37027022610,37TH AVE N,QUEEN AVE N,PENN AVE N,RES,2630,16,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,329,,,2013-08-01T00:00:00.000Z,4098
2073,37022212105,37TH AVE N,LOGAN AVE N,KNOX AVE N,RES,2684,12A,ASPHALT7,CRUSH.ROCK,2011,,,,,,49,329,,,2013-06-10T00:00:00.000Z,4100
2074,2.61546E+11,PLEASANT AVE,59 1/2 ST W,59TH ST W,RES,2629,6A,ASPHALT7m,S.GRAN.MAT.,1971,,,,2009,,100,400,,,2009-11-01T00:00:00.000Z,10753
2075,37016171515,37TH AVE N,FREMONT AVE N,EMERSON AVE N,RES,9016,12,ASPHALT7,CRUSH.CONC,1981,,1993,2,,,56,325,,,2013-06-04T00:00:00.000Z,4103
2076,37012271103,37TH AVE N,BRYANT AVE N,ALDRICH AVE N,RES,2712,10,ASPHALT7,CRUSH.CONC,1981,,2006,3,,,61,326,,,2012-04-26T00:00:00.000Z,4107
2077,37022290065,37TH AVE N,LYNDALE AVE N,6TH ST N,RES,2726,11,ASPHALT7,CRUSH.CONC,1995,,1996,1,,,59,394,,,2012-04-30T00:00:00.000Z,4109
2078,2.22633E+11,LOWRY AVE N,WASHBURN AVE N,VINCENT AVE N,CSAH,153,1,ASPHALT9,UNKNOWN,2009,,,,,,,372,,,,9596
2079,37413261508,37TH ST E,CHICAGO AVE,ELLIOT AVE,RES,2689,9,ASPHALT7,CRUSH.CONC,1978,,1999,3,,,76,328,,,2012-10-04T00:00:00.000Z,4178
2080,29030072911,29TH AVE N,THOMAS AVE N,SHERIDAN AVE N,RES,2672,11,ASPHALT7,CRUSH.CONC,1979,,2001,3,,,64,331,,,2011-08-29T00:00:00.000Z,2969
2081,29029112823,29TH AVE N,SHERIDAN AVE N,RUSSELL AVE N,RES,2672,11,ASPHALT7,CRUSH.CONC,1979,,2001,3,,,64,330,,,2011-08-29T00:00:00.000Z,2970
2082,29027022610,29TH AVE N,QUEEN AVE N,PENN AVE N,RES,2672,11,ASPHALT7,CRUSH.CONC,1979,,2001,3,,,64,330,,,2011-08-29T00:00:00.000Z,2972
2083,29024032330,29TH AVE N,NEWTON AVE N,MORGAN AVE N,RES,2605,11,CONCRETE7,S.GRAN.MAT.,1969,,,,,,66,327,"Pavement Exception: MUCH PVMT BTWN PENN & MORGAN BUILT 2014, MORGAN & KNOX BUILT IN 2003.",,2013-05-27T00:00:00.000Z,2975
2084,29016171515,29TH AVE N,FREMONT AVE N,EMERSON AVE N,RES,2605,11,CONCRETE7,S.GRAN.MAT.,1969,,,,,,66,324,"Pavement Exception: MUCH PVMT BTWN PENN & MORGAN BUILT 2014, MORGAN & KNOX BUILT IN 2003.",,2013-05-27T00:00:00.000Z,2983
2085,29014171339,29TH AVE N,DUPONT AVE N,COLFAX AVE N,RES,2883,10,ASPHALT7,CRUSH.CONC,1993,,1994,1,,,72,327,,,2011-06-08T00:00:00.000Z,2985
2086,29011032229,29TH AVE N,ALDRICH AVE N,LYNDALE AVE N,RES,2883,10,ASPHALT7,CRUSH.CONC,1993,,1994,1,,,72,327,,,2011-06-08T00:00:00.000Z,2988
2087,29000450035,29TH AVE N,4TH ST N,3RD ST N,RES,2883,10,ASPHALT7,CRUSH.CONC,1993,,1994,1,,,72,396,,,2011-06-08T00:00:00.000Z,2991
2088,1.6113E+11,FRANCE AVE S,TYROL TR,SOUTH WAYZATA BLVD,LOCAL,FRANCS,3,ASPHALT,UNKNOWN,1940,,,,,71,,580,,,2010-10-18T00:00:00.000Z,8248
2089,35426180052,35TH ST E,PORTLAND AVE,5TH AVE S,MSA,249,2,ASPH/CONC,S.GRAN.MAT.,1961,2002,2012,2,,76,,333,,,2013-09-03T00:00:00.000Z,3845
2090,35413261344,35TH ST E,CHICAGO AVE,COLUMBUS AVE,MSA,249,2,ASPH/CONC,S.GRAN.MAT.,1961,2002,2012,2,,76,,328,,,2013-09-03T00:00:00.000Z,3841
2091,35415080102,35TH ST E,ELLIOT AVE,10TH AVE S,MSA,249,2A,ASPH/CONC,S.GRAN.MAT.,1963,2002,2012,2,,82,,328,,,2013-09-03T00:00:00.000Z,3854
2092,35401120122,35TH ST E,11TH AVE S,12TH AVE S,MSA,249,2A,ASPH/CONC,S.GRAN.MAT.,1963,2002,2012,2,,82,,328,,,2013-09-03T00:00:00.000Z,3856
2093,35401220132,35TH ST E,12TH AVE S,13TH AVE S,MSA,249,2A,ASPH/CONC,S.GRAN.MAT.,1963,2002,2012,2,,82,,328,,,2013-09-03T00:00:00.000Z,3857
2094,35401420152,35TH ST E,14TH AVE S,15TH AVE S,MSA,249,2A,ASPH/CONC,S.GRAN.MAT.,1963,2002,2012,2,,82,,327,,,2013-09-03T00:00:00.000Z,3859
2095,2.80922E+11,RIDGEWOOD AVE,LYNDALE AVE S,PLEASANT AVE,RES,2591,6,ASPHALT7,BIT.ST.SOIL,1967,,,,2011,,83,1240,,,2014-06-23T00:00:00.000Z,11030
2096,35401521214,35TH ST E,15TH AVE S,BLOOMINGTON AVE,MSA,249,2A,ASPH/CONC,S.GRAN.MAT.,1963,2002,2012,2,,82,,327,,,2013-09-03T00:00:00.000Z,3860
2097,27202540244,27TH AVE S,25TH ST E,24TH ST E,MSA,410,2,ASPHALT9,CLASS 5,2006,,2007,1,,92,,657,,,2010-09-07T00:00:00.000Z,2769
2098,0272DEDS0087,27TH AVE S,DEAD END (S),8TH ST S,RES,2810,9,ASPHALT7,CRUSH.CONC,1990,,2000,2,,,68,206,,,2013-07-24T00:00:00.000Z,2773
2099,30130051606,30TH AVE NE,TAYLOR ST NE,FILLMORE ST NE,RES,2633,11,CONCRETE7,S.GRAN.MAT.,1972,,,,,,82,331,,,2013-06-06T00:00:00.000Z,3152
2100,30126121229,30TH AVE NE,PIERCE ST NE,BUCHANAN ST NE,RES,2633,11,CONCRETE7,S.GRAN.MAT.,1972,,,,,,82,331,,,2013-06-06T00:00:00.000Z,3154
2101,30122162006,30TH AVE NE,LINCOLN ST NE,JOHNSON ST NE,RES,2633,11,CONCRETE7,S.GRAN.MAT.,1972,,,,,,82,331,,,2013-06-06T00:00:00.000Z,3156
2102,30131021808,30TH AVE NE,ULYSSES ST NE,HAYES ST NE,RES,2628,10,CONCRETE7,S.GRAN.MAT.,1971,,,,,,82,331,,,2011-06-16T00:00:00.000Z,3158
2103,30112112314,30TH AVE NE,BENJAMIN ST NE,MCKINLEY ST NE,RES,2593,8,CONCRETE7,S.GRAN.MAT.,1967,,,,,,70,331,,,2012-09-27T00:00:00.000Z,3162
2104,30205640554,30TH AVE S,56TH ST E,55TH ST E,RES,2617E,2,ASPHALT7m,CLASS 3,1970,,1994,3,,,70,659,,,2013-08-16T00:00:00.000Z,3164
2105,30205540544,30TH AVE S,55TH ST E,54TH ST E,RES,2790,1,ASPHALT7,CRUSH.CONC,1988,,1998,2,,,71,667,,,2013-09-23T00:00:00.000Z,3165
2106,30205340524,30TH AVE S,53RD ST E,52ND ST E,RES,2613,7,CONCRETE7,S.GRAN.MAT.,1969,,,,,,78,661,,,2013-10-21T00:00:00.000Z,3167
2107,28424050012,28TH ST E,NICOLLET AVE,1ST AVE S,MSA,241,3,ASPH/CONC,S.GRAN.MAT.,1965,,2005,4,,71,,335,,,2010-05-28T00:00:00.000Z,2891
2108,28425052603,28TH ST E,OAKLAND AVE,PARK AVE,MSA,241,6,ASPH/CONC,UNKNOWN,1960,,2005,3,,64,,328,,,2010-05-28T00:00:00.000Z,2898
2109,3.21301E+11,VAN WHITE MEMORIAL BLVD,5TH AVE N,VAN WHITE MEMORIAL BLVD,RES,9746,15,ASPHALT9,CRUSH.CONC,2005,,,0,,,87,336,,,2010-05-14T00:00:00.000Z,11849
2110,28413441326,28TH ST E,COLUMBUS AVE,CHICAGO AVE,MSA,241,6,ASPH/CONC,UNKNOWN,1960,,2005,3,,64,,332,,,2010-05-28T00:00:00.000Z,2900
2111,28401020112,28TH ST E,10TH AVE S,11TH AVE S,MSA,241,6,ASPH/CONC,UNKNOWN,1960,,2005,3,,64,,330,,,2010-05-28T00:00:00.000Z,2902
2112,2.23006E+11,LYNDALE AVE S,59TH ST W,58TH ST W,MSA,277,1,ASPH/CONC,UNKNOWN,1964,,,,2013,100,,544,,,2013-11-01T00:00:00.000Z,9728
2113,28401220132,28TH ST E,12TH AVE S,13TH AVE S,MSA,241,6,ASPH/CONC,UNKNOWN,1960,,2005,3,,64,,329,,,2010-05-28T00:00:00.000Z,2904
2114,28401420152,28TH ST E,14TH AVE S,15TH AVE S,MSA,241,6,ASPH/CONC,UNKNOWN,1960,,2005,3,,64,,329,,,2010-05-28T00:00:00.000Z,2906
2115,29123132803,29TH AVE NE,MARSHALL ST NE,RANDOLPH ST NE,RES,2646,14,CONCRETE7,S.GRAN.MAT.,1975,,,,,,82,289,,,2013-06-20T00:00:00.000Z,2993
2116,29128031716,29TH AVE NE,RANDOLPH ST NE,GRAND ST NE,RES,2646,14,CONCRETE7,S.GRAN.MAT.,1975,,,,,,82,279,,,2013-06-20T00:00:00.000Z,2995
2117,32203440334,32ND AVE S,34TH ST E,33RD ST E,RES,2660,5,CONCRETE7,S.GRAN.MAT.,1974,,,,,,76,658,,,2014-08-01T00:00:00.000Z,3376
2118,32203240314,32ND AVE S,32ND ST E,31ST ST E,RES,2660,5,CONCRETE7,S.GRAN.MAT.,1974,,,,,,76,679,,,2014-08-01T00:00:00.000Z,3378
2119,32222030294,32ND AVE S,LAKE ST E,29TH ST E,RES,2660,5,CONCRETE7,S.GRAN.MAT.,1974,,,,,,76,658,,,2014-08-01T00:00:00.000Z,3380
2120,0322DEDS0264,32ND AVE S,DEAD END (S),26TH ST E,LOCAL,32AVS,1,ASPHALT9,S.GRAN.MAT.,1983,,,,,79,,730,,,2010-10-06T00:00:00.000Z,3382
2121,32202640254,32ND AVE S,26TH ST E,25TH ST E,RES,2788,4,ASPHALT7,CRUSH.CONC,1981,,,,2013,,100,656,,,2013-11-01T00:00:00.000Z,3383
2122,32202540244,32ND AVE S,25TH ST E,24TH ST E,RES,2788,4,ASPHALT7,CRUSH.CONC,1981,,,,2013,,100,657,,,2013-11-01T00:00:00.000Z,3384
2123,32400122923,32ND ST E,1ST AVE S,STEVENS AVE,RES,2662,11A,ASPHALT7m,S.GRAN.MAT.,1976,,2001,3,,,67,331,,,2011-05-26T00:00:00.000Z,3389
2124,35401821308,35TH ST E,18TH AVE S,CEDAR AVE S,MSA,249,2B,ASPH/CONC,S.GRAN.MAT.,1963,,2009,4,,71,,329,,,2011-07-12T00:00:00.000Z,3864
2125,38203540344,38TH AVE S,35TH ST E,34TH ST E,RES,2688,7,ASPHALT7,CLASS 2,1978,,2000,3,,,68,658,,,2012-10-11T00:00:00.000Z,4256
2126,38203440334,38TH AVE S,34TH ST E,33RD ST E,RES,2713,2,ASPHALT7,CRUSH.CONC,1982,,,,2013,,100,662,,,2013-11-01T00:00:00.000Z,4257
2127,38222030294,38TH AVE S,LAKE ST E,29TH ST E,RES,2789,2,ASPHALT7m,S.GRAN.MAT.,1980,,1994,2,,,63,660,,,2014-08-13T00:00:00.000Z,4261
2128,4201940184,4TH AVE S,19TH ST E,18TH ST E,RES,2910,8,ASPHALT7,GRAVEL,1967,2000,2001,1,,,76,454,,,2013-08-20T00:00:00.000Z,449
2129,3.20722E+11,MEMORIAL PKWY,LOWRY AVE N,MEMORIAL PKWY,PRKBD,MEMORL,1,ASPHALT,CLASS 5,1975,2011,2013,1,,100,,504,,,2011-11-01T00:00:00.000Z,9917
2130,38426031344,38TH ST E,PARK AVE,COLUMBUS AVE,MSA,253,3,ASPH/CONC,S.GRAN.MAT.,1960,,2014,1,2009,84,,327,Pavement Exception: BLAISDELL - NICOLLET WAS NOT OVERLAID IN 2009.,,2013-09-05T00:00:00.000Z,4275
2131,38413261508,38TH ST E,CHICAGO AVE,ELLIOT AVE,MSA,253,4,ASPH/CONC,S.GRAN.MAT.,1963,,,,2012,100,,327,,,2012-11-01T00:00:00.000Z,4277
2132,18413340042,18TH ST E,CLINTON AVE,4TH AVE S,RES,2910,22A,ASPHALT7,BIT.ST.SOIL,1967,2000,2001,1,,,76,318,,,2013-08-20T00:00:00.000Z,1820
2133,30205240514,30TH AVE S,52ND ST E,51ST ST E,RES,2613,7,CONCRETE7,S.GRAN.MAT.,1969,,,,,,78,660,,,2013-10-21T00:00:00.000Z,3168
2134,30204942341,30TH AVE S,49TH ST E,EAST MINNEHAHA PKWY,RES,2613,7,CONCRETE7,S.GRAN.MAT.,1969,,,,,,78,593,,,2013-10-21T00:00:00.000Z,3171
2135,33401521214,33RD ST E,15TH AVE S,BLOOMINGTON AVE,RES,2652,17,ASPHALT7m,S.GRAN.MAT.,1976,,2006,3,,,73,330,,,2013-08-26T00:00:00.000Z,3555
2136,33401720182,33RD ST E,17TH AVE S,18TH AVE S,RES,2729,21,ASPHALT7m,S.GRAN.MAT.,1977,,1998,3,,,73,327,Pavement Exception: FROM 25TH AVE TO ALLEY  WAS PAVED IN 1990 W/ HIA. PROJ.,,2013-07-08T00:00:00.000Z,3558
