OBJECTID,OFT_1,STREET_O_NAME_1,STREET_F_NAME_1,STREET_T_NAME_1,NETWORK,BRANCH,SECTION,PAVEMENT,BASE,CONST_YR,RENOVATION_YR,SEALCOAT_YR,SEALCOAT_COUNT,OVERLAY_YR,PCI,PCI_BRANCH_AVG,LENGTH,COMMENTS_1,COMMENTS_2,INSPECTION_DATE,REFNO_ALL
5324,3.31906E+11,WENTWORTH AVE,61ST ST W,60TH ST W,RES,2629,8,ASPHALT7m,S.GRAN.MAT.,1971,,,,2010,,100,515,,,2010-11-01T00:00:00.000Z,12129
5325,3.31906E+11,WENTWORTH AVE,57TH ST W,56TH ST W,RES,2629,8A,ASPHALT7m,S.GRAN.MAT.,1971,,,,2010,,100,664,,,2010-11-01T00:00:00.000Z,12132
5326,3.31906E+11,WENTWORTH AVE,56TH ST W,DIAMOND LAKE RD W,RES,2629,8A,ASPHALT7m,S.GRAN.MAT.,1971,,,,2010,,100,1030,,,2010-11-01T00:00:00.000Z,12133
5327,1.22812E+11,BRYANT AVE S,BRYANT AVE S,KENWOOD PKWY,MSA,370,1,ASPHALT9,CLASS 5,1986,,2012,1,,74,,264,,,2010-06-03T00:00:00.000Z,7007
5328,3.31905E+11,WENTWORTH AVE,52ND ST W,ELMWOOD PL W,RES,2611,3A,ASPHALT7m,CLASS 3,1969,,1996,3,,,65,556,,,2013-10-07T00:00:00.000Z,12134
5329,41022293308,41ST AVE N,LYNDALE AVE N,WASHINGTON AVE N,CSAH,152,19,ASPHALT,UNKNOWN,1980,,,,2013,,,299,,,,4635
5330,3.30804E+11,WASHINGTON AVE N,41ST AVE N,SOO AVE N,CSAH,152,18,ASPH/CONC,UNKNOWN,1958,,,,2013,,,116,,,,12057
5331,3.31905E+11,WENTWORTH AVE,47TH ST W,46TH ST W,RES,2604,6,ASPHALT7,CEM.ST.SOIL,1968,,,,2008,,86,660,,,2012-11-05T00:00:00.000Z,12141
5332,3.00301E+11,TALMAGE AVE SE,12TH AVE SE,13TH AVE SE,RES,2984,15,ASPHALT7m,S.GRAN.MAT.,1973,2004,2005,1,,,85,329,,,2013-06-14T00:00:00.000Z,11502
5333,3.20826E+11,VINCENT AVE N,PLYMOUTH AVE N,12TH AVE N,RES,2667,3,ASPHALT7m,S.GRAN.MAT.,1975,,1995,3,,,63,500,,,2013-07-23T00:00:00.000Z,11884
5334,3.20802E+11,VINCENT AVE N,16TH AVE N,14TH AVE N,RES,2671,3,ASPHALT7m,S.GRAN.MAT.,1976,,,,2014,,100,664,,,2014-11-01T00:00:00.000Z,11882
5335,3.20802E+11,VINCENT AVE N,17TH AVE N,16TH AVE N,RES,2671,3,ASPHALT7m,S.GRAN.MAT.,1976,,,,2014,,100,666,,,2014-11-01T00:00:00.000Z,11881
5336,3.20802E+11,VINCENT AVE N,18TH AVE N,17TH AVE N,RES,2671,3,ASPHALT7m,S.GRAN.MAT.,1976,,,,2014,,100,328,,,2014-11-01T00:00:00.000Z,11880
5337,3.20817E+11,VINCENT AVE N,GOLDEN VALLEY RD,18TH AVE N,RES,2671,3,ASPHALT7m,S.GRAN.MAT.,1976,,,,2014,,100,334,,,2014-11-01T00:00:00.000Z,11879
5338,3208EXIT0300,VINCENT AVE N,EXIT,30TH AVE N,RES,2672,3A,ASPHALT7,CRUSH.CONC,1979,,2001,3,,,64,263,,,2011-08-29T00:00:00.000Z,11896
5339,3.20803E+11,VINCENT AVE N,33RD AVE N,34TH AVE N,RES,2630,5,CONCRETE7,S.GRAN.MAT.,1971,,,,,,73,658,,,2013-08-01T00:00:00.000Z,11899
5340,7532132616,7TH ST N,VAN WHITE MEMORIAL BLVD,PLYMOUTH AVE N,MSA,221,9,ASPHALT9,S.GRAN.MAT.,2010,,,,,90,,369,"Pavement Exception: ALDRICH TO +/-280' W OF VAN WHITE WAS NOT RECONST IN 2010, IT WAS O.L.",,2013-09-11T00:00:00.000Z,857
5341,8801130123,8TH ST SE,11TH AVE SE,12TH AVE SE,MSA,231,4,ASPHALT9,S.GRAN.MAT.,1973,,1984,1,,35,,413,,,2011-08-31T00:00:00.000Z,970
5342,9701540132,9TH ST S,15TH ST E,13TH AVE S,RES,2874,5,ASPHALT9,CRUSH.CONC,1997,,1998,1,,,86,384,,,2013-06-20T00:00:00.000Z,1006
5343,10123040026,10TH AVE NE,MAIN ST NE,2ND ST NE,RES,2596,10,ASPHALT7,CRUSH.ROCK,1965,,1998,3,,,76,383,,,2013-06-12T00:00:00.000Z,1033
5344,1700320052,1ST ST S,3RD AVE S,5TH AVE S,LOCAL,01STS,1,ASPHALT9,CRUSH.CONC,1989,,2011,2,,66,,819,Pavement Exception: 3RD AV TO 343' W. OF 5TH AVE WAS BUILT WITH BRIDGE PROJ. IN 1999.,,2010-09-27T00:00:00.000Z,79
5345,10203740364,10TH AVE S,37TH ST E,36TH ST E,RES,2689,2,ASPHALT7,CRUSH.CONC,1978,,1999,3,,,76,658,,,2012-10-04T00:00:00.000Z,1055
